calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,0,0,USA,Thai-Son,&nbsp,Kwiatkowski,,6,7,0,0,0,USA,Christopher,&nbsp,Eubanks,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,NLD,Tallon,&nbsp,Griekspoor,,3,2,0,0,0,ESP,Guillermo,&nbsp,Garcia-Lopez,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,AUT,Dennis,Seeded:&nbsp1,Novak,,3,2,0,0,0,DEU,Dustin,&nbsp,Brown,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4,0,0,ESP,Roberto,&nbsp,Ortega-Olmedo,,4,7,6,0,0,SVK,Filip,&nbsp,Horansky,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,SRB,Viktor,&nbsp,Troicki,,4,2,0,0,0,USA,Bradley,Seeded:&nbsp22,Klahn,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,0,0,JPN,Taro,Seeded:&nbsp8,Daniel,,7,6,0,0,0,SRB,Nikola,&nbsp,Milojevic,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,CHE,Henri,Seeded:&nbsp2,Laaksonen,,7,7,0,0,0,AUS,Rinky,&nbsp,Hijikata,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,BEL,Steve,&nbsp,Darcis,,7,7,0,0,0,MAR,Elliot,&nbsp,Benchetrit,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,SVK,Andrej,Seeded:&nbsp5,Martin,,3,2,0,0,0,RUS,Alexey,&nbsp,Vatutin,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,0,0,FRA,Mathias,&nbsp,Bourgue,,7,1,1,0,0,DEU,Oscar,&nbsp,Otte,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,0,0,ITA,Stefano,&nbsp,Napolitano,,6,6,0,0,0,ARG,Facundo,Seeded:&nbsp24,Bagnis,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,0,0,JPN,Go,Seeded:&nbsp9,Soeda,,6,6,0,0,0,ARG,Marco,&nbsp,Trungelliti,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,0,CZE,Zdenek,&nbsp,Kolar,,6,6,0,0,0,USA,Jeffrey John,&nbsp,Wolf,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,0,0,ITA,Lorenzo,&nbsp,Giustino,,3,5,0,0,0,CHN,Yan,&nbsp,Bai,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,0,0,DEU,Maximilian,&nbsp,Marterer,,6,7,7,0,0,DEU,Yannick,Seeded:&nbsp18,Maden,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,0,0,RUS,Evgeny,Seeded:&nbsp6,Donskoy,,7,1,6,0,0,BRA,Joao,&nbsp,Menezes,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,ITA,Lorenzo,&nbsp,Musetti,,2,1,0,0,0,ISR,,&nbsp,,,,Qualification
